run_id,validation_gate,t,association_count,update_applied
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,434.139,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,434.339,13.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,434.53900000000004,13.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,434.73900000000003,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,434.939,13.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,435.139,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,435.33900000000006,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,435.53900000000004,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,435.73900000000003,13.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,435.939,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,436.139,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,436.33900000000006,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,436.53900000000004,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,436.73900000000003,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,436.939,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,437.139,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,437.33900000000006,13.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,437.53900000000004,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,437.73900000000003,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,437.939,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,438.139,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,438.33900000000006,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,438.53900000000004,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,438.73900000000003,11.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,438.939,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,439.139,13.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,439.33900000000006,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,439.53900000000004,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,439.73900000000003,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,439.939,12.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,440.139,11.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,440.33900000000006,11.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,440.53900000000004,10.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,440.73900000000003,10.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,440.939,11.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,441.139,11.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,441.33900000000006,11.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,441.53900000000004,10.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,441.73900000000003,9.0,1.0
